Datetime,Close,Stoch,Std_Dev,Buy_Signal,Sell_Signal,Day_Trade
2024-01-03 09:30:00-05:00,241.3300018310547,,,False,False,0
2024-01-03 09:35:00-05:00,242.02940368652344,,,False,False,0
2024-01-03 09:40:00-05:00,240.67010498046875,,,False,False,0
2024-01-03 09:45:00-05:00,240.5800018310547,,,False,False,0
2024-01-03 09:50:00-05:00,239.9600067138672,,,False,False,0
2024-01-03 09:55:00-05:00,239.14199829101562,,,False,False,0
2024-01-03 10:00:00-05:00,238.779296875,,,False,False,0
2024-01-03 10:05:00-05:00,238.20010375976562,,,False,False,0
2024-01-03 10:10:00-05:00,236.85499572753906,,,False,False,0
2024-01-03 10:15:00-05:00,237.69000244140625,,,False,False,0
2024-01-03 10:20:00-05:00,237.59249877929688,,,False,False,0
2024-01-03 10:25:00-05:00,237.93389892578125,,,False,False,0
2024-01-03 10:30:00-05:00,237.82009887695312,,,False,False,0
2024-01-03 10:35:00-05:00,237.4407958984375,11.974255643804531,,True,False,0
2024-01-03 10:40:00-05:00,238.78500366210938,39.08355208245128,,False,False,0
2024-01-03 10:45:00-05:00,238.45069885253906,34.81524882816396,,False,False,0
2024-01-03 10:50:00-05:00,238.95989990234375,51.24022260329758,,False,False,0
2024-01-03 10:55:00-05:00,239.52999877929688,65.77865328392977,,False,False,0
2024-01-03 11:00:00-05:00,239.8000030517578,85.50374722098294,,False,True,0
2024-01-03 11:05:00-05:00,238.94329833984375,64.45445036384972,1.3772932518255814,False,False,0
2024-01-03 11:10:00-05:00,238.86740112304688,63.844612372269474,1.265918399434379,False,False,0
2024-01-03 11:15:00-05:00,238.31320190429688,49.954873646209386,1.0341551845940078,False,False,0
2024-01-03 11:20:00-05:00,238.62469482421875,55.178053284093906,0.9262067108610277,False,False,0
2024-01-03 11:25:00-05:00,239.04010009765625,63.297670603385164,0.8109542227593393,False,False,0
2024-01-03 11:30:00-05:00,239.2700958251953,67.4012245288434,0.7603026646039323,False,False,0
2024-01-03 11:35:00-05:00,238.7595977783203,51.39816320673491,0.7480682770594788,False,False,0
2024-01-03 11:40:00-05:00,239.5063018798828,74.80579737874294,0.7802077507699545,False,False,0
2024-01-03 11:45:00-05:00,239.82989501953125,83.99446541392396,0.8287358804597129,False,True,0
2024-01-03 11:50:00-05:00,239.78610229492188,76.50689383831127,0.7601187917243238,False,False,0
2024-01-03 11:55:00-05:00,240.0800018310547,89.6862704847925,0.7729308053917543,False,True,0
2024-01-03 12:00:00-05:00,240.57000732421875,96.88767240406823,0.8008393813697288,False,True,0
2024-01-03 12:05:00-05:00,240.2886962890625,79.1648664169105,0.8065255836664716,False,False,0
2024-01-03 12:10:00-05:00,239.94970703125,67.01468456889715,0.7634572059251999,False,False,0
2024-01-03 12:15:00-05:00,239.51809692382812,51.54475101862233,0.6365965901497642,False,False,0
2024-01-03 12:20:00-05:00,239.91000366210938,65.59162131860319,0.6343359908035057,False,False,0
2024-01-03 12:25:00-05:00,240.45860290527344,83.9924715158496,0.6350957463428618,False,True,0
2024-01-03 12:30:00-05:00,240.25990295410156,75.78988798062367,0.6433500985508446,False,False,0
2024-01-03 12:35:00-05:00,240.6540069580078,91.42900393581593,0.6876729331246098,False,True,0
2024-01-03 12:40:00-05:00,240.39999389648438,72.95336562479636,0.7086382074264836,False,False,0
2024-01-03 12:45:00-05:00,240.61000061035156,80.42692065422794,0.7188998027367544,False,True,0
2024-01-03 12:50:00-05:00,240.4499969482422,63.00133583537419,0.7053685830511344,False,False,0
2024-01-03 12:55:00-05:00,240.95010375976562,89.06205273369167,0.6547111872582732,False,True,0
